Outcome,Exposure,ModelStructure2,ExposureCoefficient,StdErrorCoefExp,ResidModelVariance,RandomEffectLabel,RandEffectVar,IQRExposure,Coef_IQR
log_cbc_percent_neut,CDPHE_O3_mean,log_cbc_percent_neut ~ CDPHE_O3_mean + age + gender + race_afam,0.00247272061107322,0.0156242246898755,0.0360392891596316, , ,4,0.000515119964577305

CASI_Total_wFxn,CDPHE_O3_mean,CASI_Total_wFxn ~ CDPHE_O3_mean + age + gender + race_afam,0.0630296499577877,0.164522124835709,8.92514615277282, , ,4,0.0131304082265419

CACT_ACT_cont,CDPHE_O3_mean,CACT_ACT_cont ~ CDPHE_O3_mean + age + gender + race_afam,-0.19925831232614,0.304110720682573,16.343693887396, , ,4,-0.0415097178094156

FEV1_pp_GLI,CDPHE_O3_mean,FEV1_pp_GLI ~ CDPHE_O3_mean,-0.711281245199654,0.696852594531179,207.21613494636, , ,4,-0.14817491640219

FEV1_Zscore_GLI,CDPHE_O3_mean,FEV1_Zscore_GLI ~ CDPHE_O3_mean,-0.0626032085894052,0.0575460952817329,1.41310179178406, , ,4,-0.0130415714766108

FVC_pp_GLI,CDPHE_O3_mean,FVC_pp_GLI ~ CDPHE_O3_mean,-0.7684124415936,0.492793753633249,103.6268065572, , ,4,-0.160076552086755

FVC_Zscore_GLI,CDPHE_O3_mean,FVC_Zscore_GLI ~ CDPHE_O3_mean,-0.0634503995247894,0.0413131285639873,0.728312720320992, , ,4,-0.0132180592539484

FEV1_FVC,CDPHE_O3_mean,FEV1_FVC ~ CDPHE_O3_mean,-0.000800101721426329,0.00450462050886845,0.0086588087174806, , ,4,-0.000166678098833208

FEV1_FVC_pp_GLI,CDPHE_O3_mean,FEV1_FVC_pp_GLI ~ CDPHE_O3_mean,-0.0581476249399218,0.511865982564033,111.803207405336, , ,4,-0.0121133792330492

FEV1_FVC_Zscore_GLI,CDPHE_O3_mean,FEV1_FVC_Zscore_GLI ~ CDPHE_O3_mean,0.0218537379475381,0.0521599411406603,1.16095640386032, , ,4,0.00455259549623424

FEF2575_pp_GLI,CDPHE_O3_mean,FEF2575_pp_GLI ~ CDPHE_O3_mean,-0.354575091365944,1.19832590003189,612.761708296695, , ,4,-0.0738654855249279

FEF2575_Zscore_GLI,CDPHE_O3_mean,FEF2575_Zscore_GLI ~ CDPHE_O3_mean,-0.0379472977384301,0.0599007819028709,1.53111111403175, , ,4,-0.00790522414028026

